datetime,id,open,high,low,close,volume,open_oi,close_oi,symbol,duration,strike,opt_type,S,iv,iv_pct
2026-03-09 13:00:00,0.0,397.0,666.0,397.0,568.5,204.0,0.0,145.0,CZCE.TA605C7300,300,7300,C,6894.0,0.8621763810497707,86.21763810497707
2026-03-09 13:00:00,0.0,750.0,750.0,750.0,750.0,3.0,0.0,3.0,CZCE.TA605P7000,300,7000,P,6894.0,0.8263605923890179,82.6360592389018
2026-03-09 13:00:00,0.0,801.5,801.5,641.0,641.0,21.0,0.0,10.0,CZCE.TA605C6900,300,6900,C,6894.0,0.7549298927370869,75.49298927370869
2026-03-09 13:00:00,0.0,998.0,998.0,992.0,992.0,11.0,0.0,11.0,CZCE.TA605P7300,300,7300,P,6894.0,0.8991471206403479,89.91471206403479
2026-03-09 13:00:00,0.0,703.0,703.0,608.5,608.5,9.0,0.0,6.0,CZCE.TA605C7100,300,7100,C,6894.0,0.8181591706952082,81.81591706952082
2026-03-09 13:00:00,0.0,621.0,722.0,621.0,690.0,12.0,0.0,10.0,CZCE.TA605P6900,300,6900,P,6894.0,0.8214885345592202,82.14885345592202
2026-03-09 13:00:00,0.0,300.0,770.5,300.0,658.0,80.0,0.0,54.0,CZCE.TA605C7000,300,7000,C,6894.0,0.8273119604343864,82.73119604343864
2026-03-09 13:00:00,0.0,600.0,784.5,600.0,678.0,10.0,0.0,10.0,CZCE.TA605C6800,300,6800,C,6894.0,0.7433138634941643,74.33138634941643
2026-03-09 13:05:00,1.0,678.0,678.0,594.5,594.5,13.0,10.0,16.0,CZCE.TA605C6800,300,6800,C,6836.0,0.682411233403246,68.2411233403246
2026-03-09 13:05:00,1.0,658.0,658.0,536.0,536.0,21.0,54.0,57.0,CZCE.TA605C7000,300,7000,C,6836.0,0.7183415891396269,71.83415891396268
2026-03-09 13:05:00,1.0,750.0,750.0,750.0,750.0,1.0,3.0,4.0,CZCE.TA605P7000,300,7000,P,6836.0,0.7935162238077254,79.35162238077254
2026-03-09 13:05:00,1.0,568.5,570.0,440.0,440.0,243.0,145.0,243.0,CZCE.TA605C7300,300,7300,C,6836.0,0.7402394250479181,74.0239425047918
2026-03-09 13:05:00,1.0,992.0,992.0,992.0,992.0,0.0,11.0,11.0,CZCE.TA605P7300,300,7300,P,6836.0,0.8624950795259322,86.24950795259322
2026-03-09 13:05:00,1.0,690.0,731.0,690.0,731.0,5.0,10.0,15.0,CZCE.TA605P6900,300,6900,P,6836.0,0.8390136308392219,83.90136308392219
2026-03-09 13:05:00,0.0,537.5,537.5,500.0,500.0,21.0,0.0,21.0,CZCE.TA605C7200,300,7200,C,6836.0,0.7691279847488103,76.91279847488103
2026-03-09 13:05:00,1.0,641.0,641.0,576.0,588.0,32.0,10.0,32.0,CZCE.TA605C6900,300,6900,C,6836.0,0.729160745334912,72.9160745334912
2026-03-09 13:05:00,1.0,608.5,608.5,561.0,561.0,110.0,6.0,113.0,CZCE.TA605C7100,300,7100,C,6836.0,0.7962362659457938,79.62362659457938
