datetime,symbol,id,open,high,low,close,volume,open_oi,close_oi,duration,strike,opt_type,S,iv,iv_pct
2026-03-09 13:05:00,CZCE.TA605P7000,2.0,750.0,750.0,750.0,750.0,1.0,3.0,4.0,60,7000,P,6836.0,0.7935162238077254,79.35162238077254
2026-03-09 13:05:00,CZCE.TA605C7000,5.0,658.0,658.0,610.0,610.0,5.0,54.0,54.0,60,7000,C,6836.0,0.8063748620262863,80.63748620262862
2026-03-09 13:09:00,CZCE.TA605P7300,5.0,992.0,992.0,992.0,992.0,0.0,11.0,11.0,60,7300,P,6672.0,0.7475694672424883,74.75694672424883
2026-03-09 13:11:00,CZCE.TA605C7100,11.0,500.0,500.0,500.0,500.0,0.0,118.0,118.0,60,7100,C,6728.0,0.7849451910261692,78.49451910261692
2026-03-09 13:12:00,CZCE.TA605C7200,5.0,500.0,500.0,486.5,486.5,10.0,21.0,31.0,60,7200,C,6690.0,0.8329128024187625,83.29128024187625
2026-03-09 13:14:00,CZCE.TA605C7000,14.0,517.5,517.5,517.5,517.5,0.0,100.0,100.0,60,7000,C,6620.0,0.822811581825624,82.2811581825624
2026-03-09 13:14:00,CZCE.TA605P7200,0.0,1064.0,1064.0,1064.0,1064.0,16.0,0.0,16.0,60,7200,P,6620.0,0.8847133763404075,88.47133763404075
2026-03-09 13:15:00,CZCE.TA605C7300,15.0,456.5,486.5,440.0,458.5,31.0,738.0,763.0,60,7300,C,6634.0,0.8689094436667996,86.89094436667996
2026-03-09 13:15:00,CZCE.TA605P6800,0.0,754.0,754.0,749.5,749.5,3.0,0.0,3.0,60,6800,P,6634.0,0.8152626494368685,81.52626494368685
2026-03-09 13:15:00,CZCE.TA605C7000,15.0,517.5,517.5,517.5,517.5,0.0,100.0,100.0,60,7000,C,6634.0,0.8147520243142229,81.47520243142229
2026-03-09 13:17:00,CZCE.TA605P6900,17.0,826.5,826.5,730.0,730.0,2.0,33.0,33.0,60,6900,P,6640.0,0.7221665473980248,72.21665473980248
2026-03-09 13:19:00,CZCE.TA605P7300,15.0,992.0,992.0,992.0,992.0,0.0,11.0,11.0,60,7300,P,6620.0,0.7065604666333959,70.6560466633396
2026-03-09 13:20:00,CZCE.TA605C7100,20.0,478.5,478.5,478.5,478.5,0.0,145.0,145.0,60,7100,C,6638.0,0.8088546282562405,80.88546282562406
2026-03-09 13:21:00,CZCE.TA605P7300,17.0,992.0,992.0,992.0,992.0,0.0,11.0,11.0,60,7300,P,6636.0,0.7195155539517192,71.95155539517192
2026-03-09 13:21:00,CZCE.TA605C7100,21.0,478.5,478.5,478.5,478.5,0.0,145.0,145.0,60,7100,C,6636.0,0.8099680744241243,80.99680744241243
2026-03-09 13:21:00,CZCE.TA605P7000,18.0,750.0,750.0,750.0,750.0,0.0,4.0,4.0,60,7000,P,6636.0,0.667660564532878,66.7660564532878
2026-03-09 13:23:00,CZCE.TA605P7200,9.0,1064.5,1064.5,1064.5,1064.5,0.0,125.0,125.0,60,7200,P,6600.0,0.8712327852789342,87.12327852789342
2026-03-09 13:23:00,CZCE.TA605C6800,23.0,555.0,555.0,555.0,555.0,0.0,146.0,146.0,60,6800,C,6600.0,0.7858008209128639,78.58008209128639
2026-03-09 13:23:00,CZCE.TA605C7000,23.0,521.0,521.0,495.0,495.0,1.0,110.0,110.0,60,7000,C,6600.0,0.8065182936008863,80.65182936008864
2026-03-09 13:24:00,CZCE.TA605C7300,24.0,445.0,458.5,444.5,458.5,24.0,1067.0,1069.0,60,7300,C,6616.0,0.878422434291058,87.8422434291058
2026-03-09 13:24:00,CZCE.TA605C6800,24.0,555.0,559.0,555.0,559.0,1.0,146.0,146.0,60,6800,C,6616.0,0.7807998682363607,78.07998682363608
2026-03-09 13:25:00,CZCE.TA605C7300,25.0,458.5,459.5,445.5,459.5,46.0,1069.0,1085.0,60,7300,C,6630.0,0.8723533750545861,87.23533750545862
2026-03-09 13:26:00,CZCE.TA605P7300,22.0,992.0,992.0,992.0,992.0,0.0,11.0,11.0,60,7300,P,6630.0,0.714730561678994,71.4730561678994
2026-03-09 13:28:00,CZCE.TA605C7000,28.0,510.0,510.0,510.0,510.0,0.0,120.0,120.0,60,7000,C,6656.0,0.7929614069957607,79.29614069957607
2026-03-09 13:28:00,CZCE.TA605C6900,28.0,561.0,574.5,549.0,549.0,3.0,174.0,174.0,60,6900,C,6656.0,0.7935079405457928,79.35079405457928
2026-03-09 13:28:00,CZCE.TA605P7000,25.0,750.0,750.0,750.0,750.0,0.0,4.0,4.0,60,7000,P,6656.0,0.6813932678159181,68.13932678159182
2026-03-09 13:28:00,CZCE.TA605P7200,14.0,1064.5,1064.5,1064.5,1064.5,0.0,125.0,125.0,60,7200,P,6656.0,0.910335692003205,91.0335692003205
2026-03-09 13:28:00,CZCE.TA605P6800,13.0,749.5,749.5,749.5,749.5,0.0,3.0,3.0,60,6800,P,6656.0,0.8283671880694503,82.83671880694503
2026-03-09 13:29:00,CZCE.TA605C7000,29.0,510.0,566.5,510.0,532.0,11.0,120.0,131.0,60,7000,C,6620.0,0.8408195282280208,84.08195282280208
